=== Parameters ===
Model Params:	32.79 [million]
=== Dataset ===
Batch size: 128
Train data:
Batches:	469

[ Started training ]

Step 1: (loss: 1.110600471496582, loss_fm: 1.110600471496582, loss_sc: 0.0, lr: 1.9989000574955988e-07)
	->->-> Sampled.
Step 101: (loss: 0.9772930145263672, loss_fm: 0.9772928357124329, loss_sc: 1.5777590078869252e-07, lr: 9.653027918322868e-06)
Step 201: (loss: 0.35445868968963623, loss_fm: 0.3457218110561371, loss_sc: 0.0087368693202734, lr: 1.811758906252399e-05)
Step 301: (loss: 0.22243094444274902, loss_fm: 0.21743269264698029, loss_sc: 0.004998259246349335, lr: 2.569354313579967e-05)
Step 401: (loss: 0.1875413954257965, loss_fm: 0.1843384951353073, loss_sc: 0.003202902153134346, lr: 3.2470740210850316e-05)
Step 501: (loss: 0.19012148678302765, loss_fm: 0.18783394992351532, loss_sc: 0.0022875338327139616, lr: 3.8529940801780945e-05)
Step 601: (loss: 0.18487395346164703, loss_fm: 0.1828240305185318, loss_sc: 0.002049919916316867, lr: 4.394374030763749e-05)
Step 701: (loss: 0.1893468201160431, loss_fm: 0.18824197351932526, loss_sc: 0.0011048413580283523, lr: 4.8777398761348056e-05)
Step 801: (loss: 0.18630118668079376, loss_fm: 0.18532505631446838, loss_sc: 0.000976131297647953, lr: 5.3089585669143424e-05)
Step 901: (loss: 0.1727016121149063, loss_fm: 0.17155182361602783, loss_sc: 0.001149783143773675, lr: 5.693304870369694e-05)
Step 1001: (loss: 0.19322249293327332, loss_fm: 0.19261355698108673, loss_sc: 0.0006089386297389865, lr: 6.0355214100463975e-05)
Step 1101: (loss: 0.16750280559062958, loss_fm: 0.16657330095767975, loss_sc: 0.0009295089403167367, lr: 6.339872578940753e-05)
Step 1201: (loss: 0.15245649218559265, loss_fm: 0.15159745514392853, loss_sc: 0.0008590375073254108, lr: 6.61019295631313e-05)
Step 1301: (loss: 0.1567694991827011, loss_fm: 0.1556130051612854, loss_sc: 0.0011564969317987561, lr: 6.849930792819681e-05)
Step 1401: (loss: 0.15059936046600342, loss_fm: 0.14972008764743805, loss_sc: 0.0008792758453637362, lr: 7.062187070086742e-05)
Step 1501: (loss: 0.15356941521167755, loss_fm: 0.15261210501194, loss_sc: 0.000957306707277894, lr: 7.24975058843852e-05)
Step 1601: (loss: 0.13499486446380615, loss_fm: 0.13368313014507294, loss_sc: 0.001311732456088066, lr: 7.415129489561982e-05)
Step 1701: (loss: 0.12307243794202805, loss_fm: 0.1224467009305954, loss_sc: 0.0006257342174649239, lr: 7.560579578871447e-05)
Step 1801: (loss: 0.1335187554359436, loss_fm: 0.1326296031475067, loss_sc: 0.0008891525212675333, lr: 7.688129774699725e-05)
Step 1901: (loss: 0.13207679986953735, loss_fm: 0.13081896305084229, loss_sc: 0.0012578410096466541, lr: 7.799604977729449e-05)
Step 2001: (loss: 0.12891647219657898, loss_fm: 0.12757167220115662, loss_sc: 0.0013448053505271673, lr: 7.896646623873741e-05)
	->->-> Saved checkpoints.
	->->-> Sampled.
Step 2101: (loss: 0.1392010748386383, loss_fm: 0.13827303051948547, loss_sc: 0.000928047054912895, lr: 7.980731156749946e-05)
Step 2201: (loss: 0.13099320232868195, loss_fm: 0.1298454999923706, loss_sc: 0.0011476973304525018, lr: 8.053186631633982e-05)
Step 2301: (loss: 0.11812188476324081, loss_fm: 0.11566062271595001, loss_sc: 0.002461264841258526, lr: 8.115207641041022e-05)
Step 2401: (loss: 0.12136279791593552, loss_fm: 0.11822563409805298, loss_sc: 0.0031371628865599632, lr: 8.16786873258721e-05)
